"";"cr_in";"Population";"gdp_p";"unem";"life_ex";"dea";"bir";"emp";"emp_s";"emp_a";"emp_i";"edu_ex";"mil_ex"
"1";1;36296400;1393,233;11,18;64,13;6,58;33,167;43,22;37,99;43,99;18,03;530307036,8;191407113,2
"2";0;2873457;4531,02;13,75;78,33;7,71;11,93;48,22;42,44;38,2;19,35;431032412;144382688,7
"3";1;41389198;4044,28;12;76,5;4,72;24,85;39,516;58,85;10,16;30,99;7361823737;10073364021
"4";1;29816748;4095,81;7,12;63,064;8,43;33,167;72,05;41,07;50,56;8,517;4091869979;3062872914
"5";1;44044811;14591,86;8,35;76,37;7,62;17,21;55,53;77,5;1,115;22,44;31276833378;5459643672
"6";0;2944809;3914,5;17,68;74,8;9,86;14,3;45,8;51,95;31,34;16,71;386855546,29;443610413,3
"7";0;24601860;54066,47;5,59;82,5;6,5;12,6;61,59;77,97;2,6;19,43;64793485089;27691112417
"8";0;8797566;47549,08;5,5;81,64;9,5;10;57,19;71,15;3,93;24,92;21382971925;3138359204
"9";0;9854033;4147,09;5;72,69;5,8;14,6;63,26;49,28;36,35;14,37;997849399,4;1528859592
"10";1;647881,6;31827,24;9,8;73,55;6,72;14,05;67,35;81,606;2,27;14,55;452206293,2;14980544415
"11";0;1494074;23709,43;1,823;77,03;3,489;14,37;72,08;63,49;1,115;33,053;972929090,4;1532712766
"12";1;159670593;1563,91;4,37;72,05;5,53;18,5;56,29;38,98;40,6;20,42;3245074352;3594007980
"13";0;9498264;5761,75;5,65;74,13;12,6;10,8;60,79;58,53;10,7;30,77;2476338776;631145399,2
"14";0;11375158;44288,51;7,09;81,49;9,6;10,5;49,6;78,08;1,16;20,76;31198885999;4484652582
"15";1;11192854;3351,12;3,67;70,95;6,8;22,08;66,54;49,49;30,49;20,02;2216050446;574070189,6
"16";0;3351527;5394,59;17,68;77,13;10,56;8,301;39,516;51,47;16,81;31,72;26778922487;164638050,3
"17";1;2205128;7893,21;17,5;68,81;5,83;25,4;58,4;60,45;21,4;18,15;1528405773;522430455,5
"18";1;187753039,2;9925,39;12,82;75,46;6,38;14,13;55,84;70,07;9,45;20,48;119682171049,5;29283050314
"19";0;647881,6;28572,15;9,32;75,59;4,35;15,38;59,36;81,606;1,36;16,13;512674454,7;346706804,4
"20";0;7075947;8331,06;6,16;74,81;13,27;9;52,04;63,09;7,01;29,9;2223702234;824187016,9
"21";1;16009414;1393,233;1,823;69,29;6,02;22,89;77,807;37,62;35,28;27,1;416872772,8;463810835,2
"22";0;36543321;45148,55;6,34;81,95;7,5;10,3;61,43;78,96;1,52;19,53;80394082167;21343371455
"23";1;18470439;14999,37;6,96;79,91;6,08;12,71;58;68,01;9,25;22,74;12137342017;5370018135
"24";0;187753039,2;8879,44;4,44;76,47;7,11;12,43;65,92;44,91;26,98;28,11;119682171049,5;46328676241,1
"25";1;48901066;6377,85;8,87;76,93;5,5;15,1;63,04;64,05;16,53;19,42;10775382489;10018029818
"26";1;4949954;11814,63;8,14;79,91;5,01;14,25;55,3;68,97;12,58;18,45;4111671813;14980544415
"27";0;4124531;13412,34;11,21;77,83;13;8,9;45,83;66,61;6,98;26,42;2452614264;784300763,1
"28";0;1179680;26338,69;11,05;80,67;6,95;10,67;55,4;80,43;2,53;17,05;1350903831;357380920,8
"29";0;10594438;20379,9;2,89;78,98;10,5;10,8;58,71;59,14;2,8;33,053;11449186219;2077722061
"30";0;5764980;57141,06;5,74;81,1;9,2;10,6;58,47;78,99;2,21;18,8;23206126510;3764033344
"31";1;10513131;7609,34;5,83;73,69;6,12;19,8;60,4;71;9,58;19,43;1919775491;533077263,1
"32";1;16785361;6213,5;3,84;76,58;5,1;19,97;66,42;53,75;27,69;18,55;4007724181;2462700000
"33";1;96442593;2440,51;11,74;71,66;5,86;27,05;40,95;48,39;25,05;26,56;10179856303;2765588434
"34";1;6388122;3910,26;4,39;72,87;7,01;18,43;56,6;59,54;18,58;21,89;857416600,3;260900000
"35";0;1317384;20388,21;5,76;78,09;11,8;10,5;60,08;66,51;3,53;29,96;1289703330;537440226,9
"36";1;106400024;1393,233;2,12;65,87;6,69;32,78;77,807;28,613;59,687;9,84;2499076981;503158174,3
"37";1;877459;6101,03;4,24;67,25;8,18;21,56;55,47;48,78;37,94;13,28;386855546,29;71955687,861
"38";0;5508214;46316,75;8,64;81,63;9,8;9,1;53,66;74,08;3,76;22,16;15969824156;3429968212
"39";0;66864379;38812,16;9,4;82,58;9,1;11,5;50,03;76,89;2,63;20,49;119682171049,5;46328676241,1
"40";0;3728004;4357;13,94;73,41;12,92;13,72;58,84;43,7;43,13;13,17;386855546,29;308227183,5
"41";0;82657002;44349,59;3,75;80,99;11,3;9,5;58,24;71,32;1,28;27,4;119682171049,5;45381722042
"42";1;29121471;2025,93;4,22;63,46;7,41;29,84;65,08;47,91;31,99;20,1;2437551885;189129841,5
"43";0;10754679;18930,22;17,68;81,29;11,6;8,301;40,95;72,51;12,08;15,41;6323509099;5093788906
"44";1;16087418;4451,45;2,46;73,81;4,76;24,91;60,67;49,22;31,78;19;1913585986;275014798,5
"45";1;9429013;2453,73;5,53;74,9;4,43;21,86;63,29;47,33;31,99;20,68;1374919869;398460128,4
"46";0;7391700;46165,86;3,09;82,657;6,3;8,301;58,68;81,606;1,115;11,88;10075372246;14980544415
"47";0;9787966;14457,61;4,16;75,82;13,27;9,7;53,91;63,44;5,04;31,52;6078502176;1463013911
"48";0;647881,6;60818,148;2,74;82,657;6,5;11,9;74,54;78,76;3,76;17,48;1775052836;14980544415
"49";0;187753039,2;1981,65;5,42;69,17;7,21;18,08;47,18;31,25;44,05;24,7;80821710495;46328676241,1
"50";1;187753039,2;3837,65;4,18;71,28;6,43;18,42;64,21;47,19;30,79;22,02;32126211114;8178144377
"51";1;80673951;5520,31;12,1;76,27;4,84;19,01;39,516;50,38;17,58;32,04;16161905369;13931196490
"52";1;37552781;5205,29;13,02;70,29;4,83;29,69;39,516;58,85;18,58;22,57;8925375959;7416385135
"53";1;4807388;60818,148;6,71;82,16;6,3;12,9;58,02;76,11;5,05;18,84;11256259597;1025063447
"54";0;8713300;40541,86;4,22;82,55;5,1;21,1;61,4;81,606;1,115;17,36;18696388697;15581608422
"55";0;60536709;32406,72;11,21;82,657;10,7;8,301;44,05;70,21;3,78;26;72639178051;26447892915
"56";1;2920853;5069,18;11,63;74,27;7,56;16,29;58,81;67,52;16,78;15,7;757129743,4;143545555,4
"57";0;126785797;38386,51;2,8;82,657;10,8;8,301;59,17;71,93;3,44;24,63;119682171049,5;45387031802
